"epsilon","switch_rate","res_time","variable","panel","value","epsilon_fac","exp_res_fac"
0,1,1,"hit","metric",0.312144499083755,"0","1"
0.111111111111111,1,1,"hit","metric",0.294671448732694,"0.111","1"
0.222222222222222,1,1,"hit","metric",0.273817484800942,"0.222","1"
0.333333333333333,1,1,"hit","metric",0.249703737362956,"0.333","1"
0.444444444444444,1,1,"hit","metric",0.220665683871655,"0.444","1"
0.555555555555556,1,1,"hit","metric",0.186408042565501,"0.556","1"
0.666666666666667,1,1,"hit","metric",0.14628219618005,"0.667","1"
0.777777777777778,1,1,"hit","metric",,"0.778","1"
0.888888888888889,1,1,"hit","metric",,"0.889","1"
1,1,1,"hit","metric",0.001,"1","1"
0,0.5,2,"hit","metric",0.342448870162082,"0","2"
0.111111111111111,0.5,2,"hit","metric",0.328686423793145,"0.111","2"
0.222222222222222,0.5,2,"hit","metric",0.311110979116077,"0.222","2"
0.333333333333333,0.5,2,"hit","metric",0.290341531196554,"0.333","2"
0.444444444444444,0.5,2,"hit","metric",0.265956042330583,"0.444","2"
0.555555555555556,0.5,2,"hit","metric",0.236946038915336,"0.556","2"
0.666666666666667,0.5,2,"hit","metric",0.20267568450864,"0.667","2"
0.777777777777778,0.5,2,"hit","metric",,"0.778","2"
0.888888888888889,0.5,2,"hit","metric",,"0.889","2"
1,0.5,2,"hit","metric",,"1","2"
0,0.333333333333333,3,"hit","metric",0.361704641589881,"0","3"
0.111111111111111,0.333333333333333,3,"hit","metric",0.34972444444102,"0.111","3"
0.222222222222222,0.333333333333333,3,"hit","metric",0.334734223675052,"0.222","3"
0.333333333333333,0.333333333333333,3,"hit","metric",0.317334563700725,"0.333","3"
0.444444444444444,0.333333333333333,3,"hit","metric",0.296836223768245,"0.444","3"
0.555555555555556,0.333333333333333,3,"hit","metric",0.272518249311396,"0.556","3"
0.666666666666667,0.333333333333333,3,"hit","metric",0.244151088789934,"0.667","3"
0.777777777777778,0.333333333333333,3,"hit","metric",,"0.778","3"
0.888888888888889,0.333333333333333,3,"hit","metric",,"0.889","3"
1,0.333333333333333,3,"hit","metric",,"1","3"
0,0.25,4,"hit","metric",0.373876914773847,"0","4"
0.111111111111111,0.25,4,"hit","metric",0.361971115958852,"0.111","4"
0.222222222222222,0.25,4,"hit","metric",0.349012441190298,"0.222","4"
0.333333333333333,0.25,4,"hit","metric",0.334801499075833,"0.333","4"
0.444444444444444,0.25,4,"hit","metric",0.317251665477383,"0.444","4"
0.555555555555556,0.25,4,"hit","metric",0.296972420904401,"0.556","4"
0.666666666666667,0.25,4,"hit","metric",0.273924268654644,"0.667","4"
0.777777777777778,0.25,4,"hit","metric",0.248126897300768,"0.778","4"
0.888888888888889,0.25,4,"hit","metric",,"0.889","4"
1,0.25,4,"hit","metric",,"1","4"
0,0.2,5,"hit","metric",0.380196284083306,"0","5"
0.111111111111111,0.2,5,"hit","metric",0.369169742641366,"0.111","5"
0.222222222222222,0.2,5,"hit","metric",0.358264834227239,"0.222","5"
0.333333333333333,0.2,5,"hit","metric",0.344897254009096,"0.333","5"
0.444444444444444,0.2,5,"hit","metric",0.330888277227278,"0.444","5"
0.555555555555556,0.2,5,"hit","metric",0.313735699263417,"0.556","5"
0.666666666666667,0.2,5,"hit","metric",0.294878387087706,"0.667","5"
0.777777777777778,0.2,5,"hit","metric",0.274621525668141,"0.778","5"
0.888888888888889,0.2,5,"hit","metric",,"0.889","5"
1,0.2,5,"hit","metric",,"1","5"
0,0.166666666666667,6,"hit","metric",0.382999733088873,"0","6"
0.111111111111111,0.166666666666667,6,"hit","metric",0.3744076360605,"0.111","6"
0.222222222222222,0.166666666666667,6,"hit","metric",0.363109767320216,"0.222","6"
0.333333333333333,0.166666666666667,6,"hit","metric",0.351105702136603,"0.333","6"
0.444444444444444,0.166666666666667,6,"hit","metric",0.338458000998081,"0.444","6"
0.555555555555556,0.166666666666667,6,"hit","metric",0.323438629421298,"0.556","6"
0.666666666666667,0.166666666666667,6,"hit","metric",0.308454572266235,"0.667","6"
0.777777777777778,0.166666666666667,6,"hit","metric",0.292619664863964,"0.778","6"
0.888888888888889,0.166666666666667,6,"hit","metric",,"0.889","6"
1,0.166666666666667,6,"hit","metric",,"1","6"
0,0.142857142857143,7,"hit","metric",0.384034178439939,"0","7"
0.111111111111111,0.142857142857143,7,"hit","metric",0.374786963454789,"0.111","7"
0.222222222222222,0.142857142857143,7,"hit","metric",0.366174237856052,"0.222","7"
0.333333333333333,0.142857142857143,7,"hit","metric",0.354333136909112,"0.333","7"
0.444444444444444,0.142857142857143,7,"hit","metric",0.34173847482464,"0.444","7"
0.555555555555556,0.142857142857143,7,"hit","metric",0.329179273017228,"0.556","7"
0.666666666666667,0.142857142857143,7,"hit","metric",0.316278971727366,"0.667","7"
0.777777777777778,0.142857142857143,7,"hit","metric",0.304151611892753,"0.778","7"
0.888888888888889,0.142857142857143,7,"hit","metric",0.295102187281218,"0.889","7"
1,0.142857142857143,7,"hit","metric",,"1","7"
0,0.125,8,"hit","metric",0.384084354019236,"0","8"
0.111111111111111,0.125,8,"hit","metric",0.374801886740273,"0.111","8"
0.222222222222222,0.125,8,"hit","metric",0.365804628338012,"0.222","8"
0.333333333333333,0.125,8,"hit","metric",0.355386057844911,"0.333","8"
0.444444444444444,0.125,8,"hit","metric",0.343871026805615,"0.444","8"
0.555555555555556,0.125,8,"hit","metric",0.330757605677267,"0.556","8"
0.666666666666667,0.125,8,"hit","metric",0.319182908883503,"0.667","8"
0.777777777777778,0.125,8,"hit","metric",0.309708889286174,"0.778","8"
0.888888888888889,0.125,8,"hit","metric",0.304658397271459,"0.889","8"
1,0.125,8,"hit","metric",,"1","8"
0,0.111111111111111,9,"hit","metric",0.383039806393037,"0","9"
0.111111111111111,0.111111111111111,9,"hit","metric",0.374864829613082,"0.111","9"
0.222222222222222,0.111111111111111,9,"hit","metric",0.3641849462017,"0.222","9"
0.333333333333333,0.111111111111111,9,"hit","metric",0.353832362286912,"0.333","9"
0.444444444444444,0.111111111111111,9,"hit","metric",0.343027383522965,"0.444","9"
0.555555555555556,0.111111111111111,9,"hit","metric",0.331031813692373,"0.556","9"
0.666666666666667,0.111111111111111,9,"hit","metric",0.320340160629875,"0.667","9"
0.777777777777778,0.111111111111111,9,"hit","metric",0.311567653523379,"0.778","9"
0.888888888888889,0.111111111111111,9,"hit","metric",0.308574661984034,"0.889","9"
1,0.111111111111111,9,"hit","metric",,"1","9"
0,0.1,10,"hit","metric",0.382309099698064,"0","10"
0.111111111111111,0.1,10,"hit","metric",0.372521797199037,"0.111","10"
0.222222222222222,0.1,10,"hit","metric",0.363131200567837,"0.222","10"
0.333333333333333,0.1,10,"hit","metric",0.353262840069064,"0.333","10"
0.444444444444444,0.1,10,"hit","metric",0.341418083957324,"0.444","10"
0.555555555555556,0.1,10,"hit","metric",0.329654266860532,"0.556","10"
0.666666666666667,0.1,10,"hit","metric",0.318612749945721,"0.667","10"
0.777777777777778,0.1,10,"hit","metric",0.31009520067143,"0.778","10"
