"class","start_time","end_time","duration","final_size","ptEI","ptI","psEI","psI","hit","hit_time","rt_at_hit","r0","spectral_gap","epsilon","switch_rate","residence_time"
-1,0,831.455430362024,831.455430362024,0.174707726674859,192.612840856057,194.212947529835,0.00476881922000076,0.00272460313930937,NA,NA,NA,1.21751910506334,1.21751910506334,0,1,1
1,0,718.647909860657,718.647909860657,0.174636321169626,193.012867524502,194.412960864058,0.0042818654312415,0.00263611940885919,NA,NA,NA,NA,NA,0,1,1
2,0,719.247949863324,719.247949863324,0.174637099618011,193.012867524502,194.412960864058,0.00441628454149497,0.00266054652075456,NA,NA,NA,NA,NA,0,1,1
3,0,720.048003200213,720.048003200213,0.174638126734274,192.812854190279,194.412960864058,0.00459253350787409,0.00269257181206352,NA,NA,NA,NA,NA,0,1,1
4,0,721.248083205547,721.248083205547,0.174639646389273,192.412827521835,194.212947529835,0.00488064651405537,0.00274492196503585,NA,NA,NA,NA,NA,0,1,1
5,0,724.448296553104,724.448296553104,0.174643571409937,191.812787519168,194.012934195613,0.00567303071957503,0.00288888225333988,NA,NA,NA,NA,NA,0,1,1
-1,0,831.05540369358,831.05540369358,0.174788267063893,192.612840856057,194.212947529835,0.0047732861197007,0.00272715589156566,NA,NA,NA,1.21868048972587,1.20366004048538,0.05,1,1
1,0,718.447896526435,718.447896526435,0.174716973159489,193.012867524502,194.412960864058,0.00428575803063106,0.00263856743276842,NA,NA,NA,NA,NA,0.05,1,1
2,0,719.047936529102,719.047936529102,0.174717751154059,192.812854190279,194.412960864058,0.00441996359717527,0.00266295525321416,NA,NA,NA,NA,NA,0.05,1,1
3,0,719.847989865991,719.847989865991,0.174718777677003,192.612840856057,194.212947529835,0.00459610872800762,0.0026949615327029,NA,NA,NA,NA,NA,0.05,1,1
4,0,721.048069871325,721.048069871325,0.174720296465477,192.412827521835,194.212947529835,0.00488448810465099,0.00274736047900074,NA,NA,NA,NA,NA,0.05,1,1
5,0,724.248283218881,724.248283218881,0.174724219333748,191.812787519168,194.012934195613,0.00568038683901303,0.0028919578731813,NA,NA,NA,NA,NA,0.05,1,1
-1,0,830.855390359357,830.855390359357,0.174869250489675,192.412827521835,194.212947529835,0.00477778022232232,0.00272972295832453,NA,NA,NA,1.21986568899953,1.18984536364184,0.1,1,1
1,0,718.247883192213,718.247883192213,0.174798019537521,193.012867524502,194.412960864058,0.00428967269424041,0.00264102922647643,NA,NA,NA,NA,NA,0.1,1,1
2,0,718.84792319488,718.84792319488,0.174798797064996,192.812854190279,194.412960864058,0.00442366436585109,0.00266537755769535,NA,NA,NA,NA,NA,0.1,1,1
