"epsilon","switch_rate","res_time","variable","panel","value","epsilon_fac","exp_res_fac"
0,1,1,"hit","metric",,"0","1"
0.05,1,1,"hit","metric",,"0.05","1"
0.1,1,1,"hit","metric",,"0.1","1"
0.15,1,1,"hit","metric",,"0.15","1"
0.2,1,1,"hit","metric",,"0.2","1"
0.25,1,1,"hit","metric",,"0.25","1"
0.3,1,1,"hit","metric",,"0.3","1"
0.35,1,1,"hit","metric",,"0.35","1"
0.4,1,1,"hit","metric",,"0.4","1"
0.45,1,1,"hit","metric",,"0.45","1"
0.5,1,1,"hit","metric",,"0.5","1"
0.55,1,1,"hit","metric",,"0.55","1"
0.6,1,1,"hit","metric",,"0.6","1"
0.65,1,1,"hit","metric",,"0.65","1"
0.7,1,1,"hit","metric",,"0.7","1"
0.75,1,1,"hit","metric",,"0.75","1"
0.8,1,1,"hit","metric",,"0.8","1"
0.85,1,1,"hit","metric",,"0.85","1"
0.9,1,1,"hit","metric",,"0.9","1"
0.95,1,1,"hit","metric",,"0.95","1"
1,1,1,"hit","metric",,"1","1"
0,0.371794871794872,2.68965517241379,"hit","metric",0.278458895136907,"0","2.69"
0.05,0.371794871794872,2.68965517241379,"hit","metric",0.280811277380554,"0.05","2.69"
0.1,0.371794871794872,2.68965517241379,"hit","metric",0.283139695853872,"0.1","2.69"
0.15,0.371794871794872,2.68965517241379,"hit","metric",0.285718263296385,"0.15","2.69"
0.2,0.371794871794872,2.68965517241379,"hit","metric",0.288249472343898,"0.2","2.69"
0.25,0.371794871794872,2.68965517241379,"hit","metric",0.290979691256856,"0.25","2.69"
0.3,0.371794871794872,2.68965517241379,"hit","metric",0.293751977399349,"0.3","2.69"
0.35,0.371794871794872,2.68965517241379,"hit","metric",0.296546152580029,"0.35","2.69"
0.4,0.371794871794872,2.68965517241379,"hit","metric",0.299537089250388,"0.4","2.69"
0.45,0.371794871794872,2.68965517241379,"hit","metric",0.302564625389671,"0.45","2.69"
0.5,0.371794871794872,2.68965517241379,"hit","metric",0.30573932913146,"0.5","2.69"
0.55,0.371794871794872,2.68965517241379,"hit","metric",0.3090261504859,"0.55","2.69"
0.6,0.371794871794872,2.68965517241379,"hit","metric",0.312407244320093,"0.6","2.69"
0.65,0.371794871794872,2.68965517241379,"hit","metric",0.315915423545886,"0.65","2.69"
0.7,0.371794871794872,2.68965517241379,"hit","metric",0.319527972196278,"0.7","2.69"
0.75,0.371794871794872,2.68965517241379,"hit","metric",0.323305589118986,"0.75","2.69"
0.8,0.371794871794872,2.68965517241379,"hit","metric",,"0.8","2.69"
0.85,0.371794871794872,2.68965517241379,"hit","metric",,"0.85","2.69"
0.9,0.371794871794872,2.68965517241379,"hit","metric",,"0.9","2.69"
0.95,0.371794871794872,2.68965517241379,"hit","metric",,"0.95","2.69"
1,0.371794871794872,2.68965517241379,"hit","metric",,"1","2.69"
0,0.228346456692913,4.37931034482759,"hit","metric",0.32189890530037,"0","4.38"
0.05,0.228346456692913,4.37931034482759,"hit","metric",0.324677472215419,"0.05","4.38"
0.1,0.228346456692913,4.37931034482759,"hit","metric",0.328043819431751,"0.1","4.38"
0.15,0.228346456692913,4.37931034482759,"hit","metric",0.331477542275472,"0.15","4.38"
0.2,0.228346456692913,4.37931034482759,"hit","metric",0.334469306957468,"0.2","4.38"
0.25,0.228346456692913,4.37931034482759,"hit","metric",0.338041184537518,"0.25","4.38"
0.3,0.228346456692913,4.37931034482759,"hit","metric",0.341679396101365,"0.3","4.38"
0.35,0.228346456692913,4.37931034482759,"hit","metric",0.345382959053181,"0.35","4.38"
0.4,0.228346456692913,4.37931034482759,"hit","metric",0.349150587587837,"0.4","4.38"
0.45,0.228346456692913,4.37931034482759,"hit","metric",0.353464068979573,"0.45","4.38"
0.5,0.228346456692913,4.37931034482759,"hit","metric",0.3573482593042,"0.5","4.38"
0.55,0.228346456692913,4.37931034482759,"hit","metric",0.361757548922354,"0.55","4.38"
0.6,0.228346456692913,4.37931034482759,"hit","metric",0.366204459018065,"0.6","4.38"
0.65,0.228346456692913,4.37931034482759,"hit","metric",0.371128516544097,"0.65","4.38"
0.7,0.228346456692913,4.37931034482759,"hit","metric",0.376056205422429,"0.7","4.38"
0.75,0.228346456692913,4.37931034482759,"hit","metric",0.380981101876155,"0.75","4.38"
0.8,0.228346456692913,4.37931034482759,"hit","metric",0.386295741453024,"0.8","4.38"
0.85,0.228346456692913,4.37931034482759,"hit","metric",0.392318384779413,"0.85","4.38"
0.9,0.228346456692913,4.37931034482759,"hit","metric",0.398206339425597,"0.9","4.38"
0.95,0.228346456692913,4.37931034482759,"hit","metric",0.404283328074222,"0.95","4.38"
1,0.228346456692913,4.37931034482759,"hit","metric",0.41077493723315,"1","4.38"
0,0.164772727272727,6.06896551724138,"hit","metric",0.33893659236686,"0","6.07"
0.05,0.164772727272727,6.06896551724138,"hit","metric",0.34201683867039,"0.05","6.07"
0.1,0.164772727272727,6.06896551724138,"hit","metric",0.345194420541679,"0.1","6.07"
0.15,0.164772727272727,6.06896551724138,"hit","metric",0.347597502450227,"0.15","6.07"
0.2,0.164772727272727,6.06896551724138,"hit","metric",0.350966684139433,"0.2","6.07"
0.25,0.164772727272727,6.06896551724138,"hit","metric",0.354431905228289,"0.25","6.07"
0.3,0.164772727272727,6.06896551724138,"hit","metric",0.35799120152789,"0.3","6.07"
0.35,0.164772727272727,6.06896551724138,"hit","metric",0.361641735836055,"0.35","6.07"
0.4,0.164772727272727,6.06896551724138,"hit","metric",0.364496270060631,"0.4","6.07"
0.45,0.164772727272727,6.06896551724138,"hit","metric",0.36831721203207,"0.45","6.07"
0.5,0.164772727272727,6.06896551724138,"hit","metric",0.372215131857324,"0.5","6.07"
0.55,0.164772727272727,6.06896551724138,"hit","metric",0.376182437222451,"0.55","6.07"
0.6,0.164772727272727,6.06896551724138,"hit","metric",0.380209967880774,"0.6","6.07"
0.65,0.164772727272727,6.06896551724138,"hit","metric",0.385159862569774,"0.65","6.07"
0.7,0.164772727272727,6.06896551724138,"hit","metric",0.389268806036621,"0.7","6.07"
0.75,0.164772727272727,6.06896551724138,"hit","metric",0.394256111953768,"0.75","6.07"
0.8,0.164772727272727,6.06896551724138,"hit","metric",0.399229052339486,"0.8","6.07"
0.85,0.164772727272727,6.06896551724138,"hit","metric",0.404992463254704,"0.85","6.07"
0.9,0.164772727272727,6.06896551724138,"hit","metric",0.410662093378468,"0.9","6.07"
0.95,0.164772727272727,6.06896551724138,"hit","metric",0.416209193184123,"0.95","6.07"
1,0.164772727272727,6.06896551724138,"hit","metric",0.4231187200296,"1","6.07"
0,0.128888888888889,7.75862068965517,"hit","metric",0.342930260883256,"0","7.76"
0.05,0.128888888888889,7.75862068965517,"hit","metric",0.345209172322142,"0.05","7.76"
0.1,0.128888888888889,7.75862068965517,"hit","metric",0.347570943901041,"0.1","7.76"
0.15,0.128888888888889,7.75862068965517,"hit","metric",0.350013508813158,"0.15","7.76"
0.2,0.128888888888889,7.75862068965517,"hit","metric",0.352533759724044,"0.2","7.76"
0.25,0.128888888888889,7.75862068965517,"hit","metric",0.355127374924209,"0.25","7.76"
0.3,0.128888888888889,7.75862068965517,"hit","metric",0.3577886248005,"0.3","7.76"
0.35,0.128888888888889,7.75862068965517,"hit","metric",0.360510157814185,"0.35","7.76"
0.4,0.128888888888889,7.75862068965517,"hit","metric",0.363282765387752,"0.4","7.76"
0.45,0.128888888888889,7.75862068965517,"hit","metric",0.366095125301928,"0.45","7.76"
0.5,0.128888888888889,7.75862068965517,"hit","metric",0.368933523327565,"0.5","7.76"
0.55,0.128888888888889,7.75862068965517,"hit","metric",0.371781552766682,"0.55","7.76"
0.6,0.128888888888889,7.75862068965517,"hit","metric",0.374619791208798,"0.6","7.76"
0.65,0.128888888888889,7.75862068965517,"hit","metric",0.377425452915834,"0.65","7.76"
0.7,0.128888888888889,7.75862068965517,"hit","metric",0.381390614426344,"0.7","7.76"
0.75,0.128888888888889,7.75862068965517,"hit","metric",0.384048141655307,"0.75","7.76"
0.8,0.128888888888889,7.75862068965517,"hit","metric",0.387790849609005,"0.8","7.76"
0.85,0.128888888888889,7.75862068965517,"hit","metric",0.39135682106992,"0.85","7.76"
0.9,0.128888888888889,7.75862068965517,"hit","metric",0.39469734135904,"0.9","7.76"
0.95,0.128888888888889,7.75862068965517,"hit","metric",0.400094026139014,"0.95","7.76"
1,0.128888888888889,7.75862068965517,"hit","metric",0.40506907822695,"1","7.76"
0,0.105839416058394,9.44827586206897,"hit","metric",0.340754478448469,"0","9.45"
0.05,0.105839416058394,9.44827586206897,"hit","metric",0.342877571775891,"0.05","9.45"
0.1,0.105839416058394,9.44827586206897,"hit","metric",0.343712488201286,"0.1","9.45"
0.15,0.105839416058394,9.44827586206897,"hit","metric",0.345952215869739,"0.15","9.45"
