E0,p_extinction,init_class,switch_rate,R0,model_type
1,0.939,1,0.0,1.5,inhom
2,0.863,1,0.0,1.5,inhom
3,0.805,1,0.0,1.5,inhom
4,0.762,1,0.0,1.5,inhom
5,0.721,1,0.0,1.5,inhom
6,0.675,1,0.0,1.5,inhom
7,0.625,1,0.0,1.5,inhom
8,0.588,1,0.0,1.5,inhom
9,0.531,1,0.0,1.5,inhom
10,0.496,1,0.0,1.5,inhom
11,0.47,1,0.0,1.5,inhom
12,0.454,1,0.0,1.5,inhom
13,0.466,1,0.0,1.5,inhom
14,0.373,1,0.0,1.5,inhom
15,0.382,1,0.0,1.5,inhom
16,0.344,1,0.0,1.5,inhom
17,0.343,1,0.0,1.5,inhom
18,0.294,1,0.0,1.5,inhom
19,0.295,1,0.0,1.5,inhom
20,0.284,1,0.0,1.5,inhom
21,0.245,1,0.0,1.5,inhom
22,0.209,1,0.0,1.5,inhom
23,0.213,1,0.0,1.5,inhom
24,0.2,1,0.0,1.5,inhom
25,0.18,1,0.0,1.5,inhom
26,0.179,1,0.0,1.5,inhom
27,0.169,1,0.0,1.5,inhom
28,0.137,1,0.0,1.5,inhom
29,0.165,1,0.0,1.5,inhom
30,0.129,1,0.0,1.5,inhom
31,0.131,1,0.0,1.5,inhom
32,0.099,1,0.0,1.5,inhom
33,0.101,1,0.0,1.5,inhom
34,0.104,1,0.0,1.5,inhom
35,0.105,1,0.0,1.5,inhom
36,0.104,1,0.0,1.5,inhom
37,0.1,1,0.0,1.5,inhom
38,0.075,1,0.0,1.5,inhom
39,0.069,1,0.0,1.5,inhom
40,0.074,1,0.0,1.5,inhom
41,0.064,1,0.0,1.5,inhom
42,0.071,1,0.0,1.5,inhom
43,0.047,1,0.0,1.5,inhom
1,0.986,1,0.0,1.5,hom
2,0.933,1,0.0,1.5,hom
3,0.901,1,0.0,1.5,hom
4,0.895,1,0.0,1.5,hom
5,0.836,1,0.0,1.5,hom
6,0.81,1,0.0,1.5,hom
7,0.808,1,0.0,1.5,hom
